-4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 65.18, 65.18, 67.69, 67.69, 67.69, 67.69, 72.7, 72.7, 75.21, 72.7, 75.21, 80.22, 82.73, 80.22, 85.24
87.75, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 65.18, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 62.68, 65.18, 65.18, 65.18, 65.18, 65.18, 67.69, 70.2, 70.2, 70.2, 72.7, 75.21, 77.72, 80.22, 80.22
85.24, 82.73, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 60.17, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 60.17, 57.66, 62.68, 62.68, 62.68, 65.18, 62.68, 65.18, 67.69, 67.69, 72.7, 72.7, 75.21, 75.21, 80.22
85.24, 80.22, 77.72, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 57.66, 55.15, 57.66, 60.17, 57.66, 60.17, 62.68, 62.68, 62.68, 65.18, 70.2, 70.2, 75.21, 77.72, 77.72
80.22, 80.22, 77.72, 75.21, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 55.15, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 52.65, 50.14, 55.15, 55.15, 57.66, 55.15, 57.66, 60.17, 62.68, 62.68, 65.18, 70.2, 72.7, 70.2, 72.7
77.72, 75.21, 75.21, 72.7, 70.2, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 52.65, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 47.63, 50.14, 47.63, 50.14, 50.14, 55.15, 52.65, 57.66, 55.15, 60.17, 62.68, 62.68, 67.69, 70.2, 72.7, 72.7
77.72, 75.21, 70.2, 70.2, 67.69, 65.18, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 47.63, 47.63, 47.63, 47.63, 50.14, 50.14, 50.14, 55.15, 55.15, 55.15, 57.66, 60.17, 62.68, 65.18, 67.69, 70.2
75.21, 72.7, 70.2, 65.18, 65.18, 60.17, 60.17, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 42.62, 40.11, 42.62, 42.62, 45.13, 45.13, 47.63, 47.63, 50.14, 52.65, 55.15, 60.17, 62.68, 62.68, 67.69, 70.2
72.7, 72.7, 67.69, 62.68, 60.17, 57.66, 55.15, 55.15, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 42.62, -4166.67, -4166.67, -4166.67, -4166.67, 40.11, 37.61, 37.61, 40.11, 40.11, 45.13, 47.63, 47.63, 47.63, 52.65, 55.15, 57.66, 57.66, 60.17, 62.68, 65.18
70.2, 67.69, 67.69, 62.68, 62.68, 55.15, 52.65, 52.65, 50.14, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 35.1, 35.1, 35.1, 40.11, 40.11, 42.62, 45.13, 42.62, 47.63, 50.14, 52.65, 52.65, 55.15, 60.17, 60.17, 62.68
67.69, 67.69, 65.18, 60.17, 57.66, 55.15, 52.65, 52.65, 47.63, 47.63, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 32.59, 30.08, 30.08, 32.59, 30.08, 35.1, 32.59, 35.1, 35.1, 40.11, 37.61, 42.62, 42.62, 45.13, 47.63, 50.14, 52.65, 57.66, 60.17, 65.18
70.2, 65.18, 60.17, 60.17, 57.66, 52.65, 47.63, 50.14, 47.63, 42.62, 42.62, -4166.67, -4166.67, -4166.67, -4166.67, -4166.67, 30.08, 27.58, 27.58, 27.58, 30.08, 30.08, 30.08, 30.08, 35.1, 35.1, 37.61, 37.61, 40.11, 45.13, 47.63, 50.14, 52.65, 57.66, 60.17, 62.68
67.69, 65.18, 62.68, 57.66, 55.15, 50.14, 47.63, 47.63, 42.62, 40.11, 37.61, 37.61, -4166.67, -4166.67, -4166.67, -4166.67, 25.07, 27.58, 27.58, 27.58, 27.58, 27.58, 25.07, 30.08, 32.59, 32.59, 32.59, 35.1, 40.11, 40.11, 45.13, 47.63, 50.14, 52.65, 57.66, 57.66
67.69, 65.18, 60.17, 57.66, 55.15, 52.65, 45.13, 45.13, 42.62, 40.11, 37.61, 32.59, 32.59, -4166.67, -4166.67, -4166.67, 25.07, 22.56, 22.56, 22.56, 20.06, 22.56, 25.07, 25.07, 30.08, 32.59, 35.1, 35.1, 37.61, 40.11, 45.13, 45.13, 47.63, 52.65, 57.66, 60.17
65.18, 60.17, 57.66, 57.66, 52.65, 47.63, 45.13, 45.13, 42.62, 35.1, 35.1, 32.59, 27.58, 27.58, 25.07, 20.06, 22.56, 17.55, 20.06, 17.55, 17.55, 17.55, 22.56, 22.56, 27.58, 30.08, 32.59, 35.1, 35.1, 40.11, 42.62, 42.62, 47.63, 50.14, 55.15, -4166.67
