73,50,73,68,96,65,73,78,69,1,72,71,9,60,75,42,87,94,41,62
18,60,55,100,72,70,54,84,43,57,52,35,9,20,81,5,84,70,17,31
72,10,77,6,41,33,37,87,69,28,90,38,41,42,89,93,74,37,87,20
95,82,59,22,28,57,77,59,95,58,78,90,29,74,56,42,6,58,40,83
6,45,42,68,4,17,72,11,1,70,59,59,3,82,43,24,89,15,12,38
43,75,81,41,69,62,68,77,93,24,58,44,54,23,6,65,53,57,99,42
83,70,66,61,63,39,28,11,39,82,8,89,4,8,20,55,75,77,71,98
24,33,43,81,91,72,97,56,50,69,68,66,73,40,28,43,99,23,9,52
50,34,91,21,99,69,78,35,53,59,48,61,95,54,99,96,64,73,16,41
93,58,89,38,55,81,83,72,48,29,76,68,97,4,10,96,92,41,46,74
54,43,15,66,38,66,55,75,82,5,3,30,65,56,29,40,33,99,74,91
58,72,52,98,72,20,58,52,42,97,89,8,60,49,0,66,58,36,75,96
23,43,11,22,96,53,55,95,59,76,96,23,20,35,97,24,78,12,16,16
53,76,33,75,38,98,15,37,86,7,56,41,88,90,1,73,69,77,11,61
73,1,49,69,68,53,42,36,79,91,12,8,9,52,46,39,20,39,2,78
6,34,3,21,87,56,38,4,19,8,29,18,79,17,70,12,39,44,22,26
50,11,25,79,75,53,100,66,94,85,67,88,76,72,18,10,84,43,55,59
47,43,12,97,29,59,39,87,34,10,24,82,83,83,46,13,100,90,57,36
37,93,37,89,94,18,30,86,48,52,4,3,27,84,52,89,73,86,48,55
48,7,5,73,41,92,83,82,49,17,30,23,29,71,57,74,39,17,97,22
