72,9.6,25.6,55.2,76.8,56.8,52.8,72,42.4,26.4,35.2,30.4,52.8,73.6,38.4,32.8,62.4,75.2,40.8,57.6
60.8,76,34.4,43.2,10.4,23.2,4.8,57.6,11.2,8.8,12.8,42.4,21.6,31.2,23.2,65.6,60,20.8,49.6,68.8
67.2,53.6,8.8,29.6,29.6,48,68,11.2,21.6,25.6,39.2,42.4,32,4.8,26.4,24,52.8,24.8,39.2,52
64.8,53.6,12.8,32.8,52,10.4,20,60,28.8,76.8,56.8,57.6,5.6,47.2,60.8,0,52,53.6,57.6,52
42.4,60.8,67.2,67.2,16.8,44.8,39.2,7.2,38.4,8.8,13.6,2.4,45.6,8.8,70.4,37.6,19.2,100,57.6,76
44.8,6.4,54.4,48.8,50.4,13.6,13.6,28.8,14.4,28,73.6,56.8,20.8,9.6,14.4,21.6,74.4,56.8,56.8,55.2
74.4,76,26.4,44.8,24,48.8,15.2,46.4,14.4,46.4,26.4,10.4,25.6,29.6,9.6,0.8,21.6,36.8,57.6,9.6
0,31.2,40.8,13.6,54.4,33.6,20,37.6,68,63.2,9.6,16.8,8,48,12.8,66.4,40.8,74.4,76.8,39.2
76.8,1.6,20,38.4,22.4,11.2,57.6,44.8,44,74.4,28,52,57.6,60,57.6,78.4,9.6,46.4,16,64.8
11.2,48.8,16,58.4,64.8,9.6,71.2,56.8,37.6,8,24.8,4,67.2,37.6,39.2,72,48,34.4,52,65.6
36.8,37.6,20.8,33.6,55.2,49.6,72.8,6.4,32.8,53.6,19.2,20,57.6,67.2,35.2,53.6,62.4,14.4,69.6,22.4
44,66.4,28,48,67.2,44.8,36.8,31.2,64.8,57.6,36,22.4,4.8,48.8,67.2,16,50.4,12.8,36,55.2
12.8,33.6,34.4,24.8,2.4,66.4,0.8,63.2,76.8,9.6,6.4,44.8,11.2,38.4,56,70.4,0.8,15.2,78.4,38.4
58.4,67.2,35.2,11.2,12.8,64.8,49.6,44.8,32.8,17.6,31.2,69.6,12,23.2,71.2,8.8,66.4,62.4,15.2,24
36,4.8,63.2,26.4,77.6,68,56,0,39.2,28.8,31.2,74.4,28.8,79.2,41.6,2.4,60.8,80,32,24
76,73.6,66.4,5.6,1.6,49.6,32,8,65.6,44,48.8,58.4,16,29.6,76.8,8,18.4,76.8,20,40.8
77.6,35.2,19.2,70.4,68,0,16,80,1.6,41.6,21.6,20,16,23.2,53.6,30.4,13.6,21.6,60.8,30.4
14.4,11.2,60.8,49.6,52.8,46.4,5.6,59.2,51.2,58.4,60,0,65.6,17.6,72.8,46.4,71.2,9.6,14.4,60.8
49.6,20.8,62.4,32.8,77.6,64.8,60.8,35.2,70.4,78.4,0,43.2,17.6,42.4,44.8,23.2,44,6.4,80,77.6
45.6,41.6,78.4,58.4,61.6,5.6,55.2,12,8.8,20.8,76.8,79.2,68.8,52.8,39.2,8.8,20,8.8,9.6,26.4
