83,57,87,54,13,90,83,77,11,89,95,82,0,74,40,48,34,13,40,42
86,98,60,29,90,18,10,10,58,79,93,61,52,71,7,37,31,29,27,93
66,11,1,39,58,60,69,35,48,83,32,52,73,73,5,66,20,36,35,56
63,14,11,62,48,9,6,5,100,77,2,34,64,19,8,98,72,10,18,96
29,48,99,91,21,9,44,71,58,14,69,45,37,65,92,100,82,20,61,37
8,46,99,98,78,77,6,84,63,49,97,49,74,97,93,21,50,12,45,1
76,12,83,64,47,69,52,47,82,46,55,12,59,24,4,51,15,78,86,33
65,14,100,80,45,29,50,58,91,18,82,55,7,22,25,9,78,79,100,52
37,15,76,82,64,81,95,31,95,19,88,78,6,22,80,26,15,11,74,91
49,6,37,94,9,22,49,96,73,9,91,80,22,13,47,55,29,80,93,4
36,67,66,5,49,20,73,36,14,83,21,70,57,35,69,22,70,31,10,46
42,76,77,89,41,87,45,45,77,50,15,74,83,76,2,41,57,48,4,56
65,22,45,62,29,7,63,43,7,57,41,10,95,80,35,6,45,6,4,67
94,86,92,2,81,50,34,33,5,88,50,40,10,23,82,90,65,62,84,19
25,32,82,35,25,82,49,56,85,73,24,81,37,35,0,39,24,35,89,33
36,26,25,33,84,95,72,74,90,57,82,50,6,28,41,62,73,22,57,69
14,45,32,36,72,57,85,85,17,40,1,72,42,12,25,29,70,47,25,80
25,29,32,56,68,37,80,92,91,70,75,52,60,64,9,78,97,95,5,25
26,73,34,77,0,9,69,31,86,30,88,91,86,37,97,23,36,26,34,30
86,37,88,22,86,51,41,2,83,46,43,66,12,10,26,82,18,63,13,83
